,Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport
20,2,30,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=20.190.159.70,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52021,dport=443
21,2,30,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=10.5.0.27,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52022,dport=49668
22,2,31,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=49669,dport=53
23,2,31,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=13.69.109.130,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55621,dport=443
24,2,32,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62691,dport=53
25,2,32,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.225,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62691,dport=53
26,2,32,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=52.112.238.71,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52023,dport=443
27,2,33,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.199.120.151,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=56414,dport=443
28,2,33,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=20.190.159.70,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52024,dport=443
29,2,34,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62692,dport=53
30,2,34,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.225,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62694,dport=53
31,2,35,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=239.255.255.250,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62695,dport=1900
32,2,35,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=55849,dport=53
33,2,35,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.225,mac=F4:46:37:8B:1F:28,protocol=udp,sport=55850,dport=53
34,2,36,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=52.98.207.226,mac=F4:46:37:8A:F5:A7,protocol=tcp,sport=54438,dport=443
35,2,36,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=52.98.207.226,mac=F4:46:37:8A:F5:A7,protocol=tcp,sport=54437,dport=443
36,2,38,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=49670,dport=53
37,2,38,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=49671,dport=53
38,2,38,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=10.5.0.27,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=123,dport=123
39,2,39,7,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55634,dport=53
40,2,39,7,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=146.112.62.20,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55622,dport=443
41,2,39,7,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=60887,dport=53
42,2,39,7,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.225,mac=F4:46:37:8B:1F:28,protocol=udp,sport=60887,dport=53
43,2,39,7,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=13.69.116.104,mac=F4:46:37:8B:1F:28,protocol=tcp,sport=63394,dport=443
44,2,39,7,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=146.112.62.20,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55623,dport=443
45,2,39,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=10.5.0.27,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52025,dport=445
46,2,40,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.199.120.151,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=58790,dport=443
47,2,40,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=52.97.219.162,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=52554,dport=443
48,2,40,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=52.97.219.162,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=52555,dport=443
49,2,40,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.96,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64950,dport=53
50,2,40,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.225,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64951,dport=53
51,2,41,8,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.96,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64952,dport=53
52,2,41,8,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.225,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64953,dport=53
53,2,41,8,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=208.67.222.222,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64955,dport=443
54,2,41,8,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=59910,dport=53
55,2,41,8,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.225,mac=F4:46:37:8B:66:DB,protocol=udp,sport=59911,dport=53
56,2,41,8,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=59912,dport=53
57,2,41,8,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.225,mac=F4:46:37:8B:66:DB,protocol=udp,sport=59913,dport=53
58,2,41,8,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=208.67.222.222,mac=F4:46:37:8B:66:DB,protocol=udp,sport=59915,dport=443
59,2,43,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=52.97.174.66,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=51310,dport=443
60,2,44,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62697,dport=53
61,2,44,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.225,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62698,dport=53
62,2,44,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=208.67.222.222,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62700,dport=443
63,2,44,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=52.98.212.242,mac=F4:46:37:8A:F5:A7,protocol=tcp,sport=54229,dport=443
64,2,45,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=170.114.10.233,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=52428,dport=443
65,2,45,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.96,mac=F4:46:37:8B:43:EA,protocol=udp,sport=50908,dport=53
66,2,45,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.225,mac=F4:46:37:8B:43:EA,protocol=udp,sport=50908,dport=53
67,2,45,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=170.114.10.236,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=52558,dport=443
68,2,45,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.96,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=54346,dport=53
69,2,45,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.225,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=54346,dport=53
70,2,45,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=13.69.116.104,mac=F4:46:37:8A:F5:A7,protocol=tcp,sport=54440,dport=443
71,2,50,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.96,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=59986,dport=53
72,2,50,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.225,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=59986,dport=53
73,2,50,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=13.69.116.104,mac=F4:46:37:8A:F5:A7,protocol=tcp,sport=54441,dport=443
