Server,TR_IST_AP,flow_or_url,allow_or_src,SNAT_or_DNAT,mac_or_dst,mac_or_request,protocol,sport,dport,Date
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62649,dst=54.68.116.109:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://na1e-acc.services.adobe.com/...,0,2022-06-27 00:05:07
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=54.68.116.109,mac=98:DD:60:64:27:5A,protocol=tcp,sport=62649,dport=443,2022-06-27 00:05:07
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=192.111.5.2,mac=98:DD:60:64:27:5A,protocol=tcp,sport=62643,dport=443,2022-06-27 00:05:07
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.248.248.48,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57538,dport=443,2022-06-27 00:05:07
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=157.240.238.60,mac=98:DD:60:64:27:5A,protocol=tcp,sport=62614,dport=443,2022-06-27 00:05:07
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.57.146.163,mac=98:DD:60:64:27:5A,protocol=tcp,sport=56654,dport=5223,2022-06-27 00:05:07
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=157.240.238.174,mac=98:DD:60:64:27:5A,protocol=udp,sport=60019,dport=443,2022-06-27 00:05:07
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=57492,dport=53,2022-06-27 00:05:07
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=50367,dport=53,2022-06-27 00:05:07
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.207,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57534,dport=443,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=3.248.26.100,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57530,dport=443,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.54.251,mac=98:DD:60:64:27:5A,protocol=udp,sport=123,dport=123,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=224.0.0.251,mac=98:DD:60:64:27:5A,protocol=udp,sport=5353,dport=5353,2022-06-27 00:05:08
